"province","geotype","income_quintile","hhsize","risk_score","risk_category"
"1","3","1",1,0.43,"Very High"
"1","3","4",4,0.158,"Medium"
"1","1","5",4,0.006,"Low"
"1","1","5",1,0.18,"Medium"
"1","1","5",2,0.368,"Very High"
"1","1","5",4,0.076,"Low"
"1","1","5",2,0.058,"Low"
"1","1","5",2,0.062,"Low"
"1","1","5",4,0,"Low"
"1","1","5",4,0.156,"Medium"
"1","1","5",2,0.128,"Low"
"1","1","3",6,0.028,"Low"
"1","1","5",5,0.064,"Low"
"1","1","4",5,0.012,"Low"
"1","1","2",1,0.002,"Low"
"1","1","5",2,0.036,"Low"
"1","1","5",4,0.156,"Medium"
"1","1","5",4,0.156,"Medium"
"1","1","5",4,0.01,"Low"
"1","1","5",4,0.018,"Low"
"1","1","5",2,0.014,"Low"
"1","1","4",5,0.006,"Low"
"1","1","5",2,0.088,"Low"
"1","1","2",3,0.016,"Low"
"1","1","5",4,0.05,"Low"
"1","1","5",4,0.074,"Low"
"1","1","3",2,0.122,"Low"
"1","1","5",4,0.022,"Low"
"1","1","5",5,0.034,"Low"
"1","1","5",3,0.044,"Low"
"1","1","5",1,0.236,"Medium"
"1","1","4",2,0.038,"Low"
"1","1","5",9,0.338,"High"
"1","1","3",3,0.024,"Low"
"1","1","4",3,0.026,"Low"
"1","1","5",4,0.05,"Low"
"1","1","3",2,0.086,"Low"
"1","1","5",5,0.242,"Medium"
"1","1","5",5,0.146,"Low"
"1","1","2",1,0.012,"Low"
"1","1","4",6,0.06,"Low"
"1","1","4",5,0.022,"Low"
"1","1","4",6,0.036,"Low"
"1","1","4",6,0.136,"Low"
"1","1","2",2,0.026,"Low"
"1","1","5",3,0.034,"Low"
"1","1","1",6,0.012,"Low"
"1","1","3",3,0,"Low"
"1","1","4",5,0.088,"Low"
"1","1","2",5,0.05,"Low"
"1","1","5",3,0.028,"Low"
"1","1","3",1,0.028,"Low"
"1","1","4",4,0.074,"Low"
"1","1","2",1,0.052,"Low"
"1","1","3",2,0.112,"Low"
"1","1","3",1,0.022,"Low"
"1","1","4",2,0.358,"Very High"
"1","1","5",5,0.026,"Low"
"1","1","4",6,0.192,"Medium"
"1","1","5",2,0.046,"Low"
"1","1","5",4,0.07,"Low"
"1","1","5",3,0.076,"Low"
"1","1","5",4,0.05,"Low"
"1","1","5",1,0.174,"Medium"
"1","1","4",3,0.174,"Medium"
"1","1","5",5,0.008,"Low"
"1","1","5",3,0.04,"Low"
"1","1","4",3,0.018,"Low"
"1","1","4",5,0.06,"Low"
"1","1","2",1,0.002,"Low"
"1","1","5",3,0.002,"Low"
"1","1","5",3,0.134,"Low"
"1","1","5",4,0.076,"Low"
"1","1","5",3,0.194,"Medium"
"1","3","4",3,0.064,"Low"
"1","3","5",1,0.094,"Low"
"1","3","4",3,0.16,"Medium"
"1","3","4",4,0.47,"Very High"
"1","3","1",1,0.076,"Low"
"1","3","5",1,0.008,"Low"
"1","3","1",5,0.034,"Low"
"1","3","4",2,0.634,"Very High"
"1","1","4",4,0.1,"Low"
"1","1","2",3,0.088,"Low"
"1","1","2",1,0.002,"Low"
"1","1","3",4,0.012,"Low"
"1","1","1",1,0.056,"Low"
"1","1","2",3,0.028,"Low"
"1","1","3",2,0.002,"Low"
"1","1","1",1,0,"Low"
"1","1","3",3,0.296,"High"
"1","1","4",3,0.05,"Low"
"1","1","3",1,0.018,"Low"
"1","1","3",2,0.02,"Low"
"1","1","4",3,0.108,"Low"
"1","1","4",3,0.022,"Low"
"1","1","3",2,0.008,"Low"
"1","1","2",4,0.018,"Low"
"1","1","1",2,0.002,"Low"
"1","1","3",1,0.022,"Low"
"1","1","5",17,0.204,"Medium"
"1","1","5",8,0.048,"Low"
"1","1","5",8,0.126,"Low"
"1","1","4",4,0.026,"Low"
"1","1","1",4,0.038,"Low"
"1","1","3",4,0.036,"Low"
"1","1","3",4,0.056,"Low"
"1","1","4",1,0.282,"High"
"1","1","1",1,0,"Low"
"1","1","2",1,0.002,"Low"
"1","1","3",5,0.004,"Low"
"1","1","3",1,0.11,"Low"
"1","1","5",5,0.092,"Low"
"1","1","2",1,0.002,"Low"
"1","1","5",4,0.022,"Low"
"1","1","3",1,0.11,"Low"
"1","1","4",2,0.002,"Low"
"1","1","5",3,0.216,"Medium"
"1","1","5",1,0.014,"Low"
"1","1","5",5,0.016,"Low"
"1","1","5",6,0.098,"Low"
"1","1","3",1,0.23,"Medium"
"1","1","5",4,0.128,"Low"
"1","1","5",4,0.048,"Low"
"1","1","5",2,0.094,"Low"
"1","1","4",1,0.114,"Low"
"1","1","1",1,0,"Low"
"1","1","5",1,0.074,"Low"
"1","1","5",2,0.106,"Low"
"1","1","5",3,0.13,"Low"
"1","1","5",2,0.198,"Medium"
"1","1","5",3,0.008,"Low"
"1","1","5",2,0.022,"Low"
"1","1","5",4,0,"Low"
"1","1","4",2,0.026,"Low"
"1","1","5",1,0.236,"Medium"
"1","1","5",3,0.004,"Low"
"1","1","4",3,0.032,"Low"
"1","1","4",6,0.138,"Low"
"1","1","4",4,0.134,"Low"
"1","1","5",5,0.198,"Medium"
"1","1","2",2,0.026,"Low"
"1","1","5",9,0.188,"Medium"
"1","1","5",4,0.05,"Low"
"1","1","5",4,0.084,"Low"
"1","1","5",3,0.006,"Low"
"1","1","5",4,0.06,"Low"
"1","1","5",5,0.022,"Low"
"1","1","5",5,0.02,"Low"
"1","1","5",5,0.03,"Low"
"1","1","5",4,0.144,"Low"
"1","1","3",5,0.026,"Low"
"1","1","5",3,0.032,"Low"
"1","1","1",1,0,"Low"
"1","1","2",4,0.02,"Low"
"1","1","1",4,0.018,"Low"
"1","1","1",2,0.016,"Low"
"1","1","5",2,0.116,"Low"
"1","1","5",2,0.04,"Low"
"1","1","5",2,0.052,"Low"
"1","1","5",4,0.038,"Low"
"1","1","5",1,0.074,"Low"
"1","1","5",6,0.146,"Low"
"1","1","4",1,0.032,"Low"
"1","1","2",1,0.042,"Low"
"1","1","3",6,0.128,"Low"
"1","1","2",5,0.016,"Low"
"1","1","5",4,0.208,"Medium"
"1","1","5",2,0.02,"Low"
"1","1","4",1,0.072,"Low"
"1","1","5",6,0.344,"High"
"1","1","5",3,0.1,"Low"
"1","1","5",7,0.046,"Low"
"1","1","3",7,0.102,"Low"
"1","1","4",4,0.28,"High"
"1","1","2",3,0.046,"Low"
"1","1","4",4,0.148,"Low"
"1","1","5",7,0.22,"Medium"
"1","1","2",3,0.02,"Low"
"1","1","2",3,0.06,"Low"
"1","1","5",2,0.02,"Low"
"1","1","3",1,0.034,"Low"
"1","1","4",6,0.044,"Low"
"1","1","4",4,0.014,"Low"
"1","3","4",4,0.19,"Medium"
"1","3","3",2,0.12,"Low"
"1","3","4",5,0.096,"Low"
"1","1","4",4,0.06,"Low"
"1","1","3",3,0.148,"Low"
"1","1","1",1,0,"Low"
"1","1","4",5,0.134,"Low"
"1","1","4",4,0.062,"Low"
"1","1","4",4,0.156,"Medium"
"1","1","1",4,0.018,"Low"
"1","1","5",1,0.168,"Medium"
"1","1","5",2,0.1,"Low"
"1","1","5",3,0.014,"Low"
"1","1","5",1,0.206,"Medium"
"1","1","4",1,0.23,"Medium"
"1","1","5",2,0.16,"Medium"
"1","1","5",5,0.066,"Low"
"1","1","5",2,0.198,"Medium"
"1","1","5",4,0.052,"Low"
"1","1","3",7,0.336,"High"
"1","1","5",2,0.02,"Low"
"1","1","4",3,0.042,"Low"
"1","1","3",4,0.046,"Low"
"1","1","5",8,0.228,"Medium"
"1","1","4",8,0.022,"Low"
"1","1","2",2,0.086,"Low"
"1","1","4",4,0.05,"Low"
"1","1","3",3,0,"Low"
"1","1","5",5,0.106,"Low"
"1","1","5",3,0.042,"Low"
"1","1","5",2,0.046,"Low"
"1","1","5",3,0.052,"Low"
"1","1","5",3,0,"Low"
"1","1","3",4,0.078,"Low"
"1","1","5",4,0.03,"Low"
"1","1","4",4,0.352,"Very High"
"1","1","3",8,0.052,"Low"
"1","1","3",3,0.2,"Medium"
"1","1","2",4,0.018,"Low"
"1","1","2",1,0.138,"Low"
"1","1","5",7,0.08,"Low"
"1","1","4",2,0.044,"Low"
"1","1","5",2,0.154,"Medium"
"1","1","5",6,0.192,"Medium"
"1","1","4",4,0.114,"Low"
"1","1","3",4,0.01,"Low"
"1","1","4",6,0.246,"Medium"
"1","1","2",5,0.056,"Low"
"1","1","4",5,0.054,"Low"
"1","1","5",5,0.184,"Medium"
"1","1","1",3,0.012,"Low"
"1","1","2",7,0.028,"Low"
"1","1","4",4,0.196,"Medium"
"1","1","2",3,0.01,"Low"
"1","1","4",3,0.066,"Low"
"1","1","1",1,0,"Low"
"1","1","4",4,0.186,"Medium"
"1","1","5",1,0.014,"Low"
"1","1","1",3,0.274,"High"
"1","3","4",3,0.46,"Very High"
"1","3","5",5,0.41,"Very High"
"1","3","4",3,0.084,"Low"
"1","3","4",6,0.112,"Low"
"1","3","5",9,0.326,"High"
"1","3","4",4,0.314,"High"
"1","3","2",2,0.038,"Low"
"1","3","5",2,0.06,"Low"
"1","1","4",3,0.06,"Low"
"1","1","4",3,0.01,"Low"
"1","1","4",2,0.024,"Low"
"1","1","4",4,0.196,"Medium"
"1","1","4",2,0.154,"Medium"
"1","1","5",1,0.114,"Low"
"1","1","5",2,0.126,"Low"
"1","1","5",2,0.126,"Low"
"1","1","4",5,0.208,"Medium"
"1","1","5",2,0.056,"Low"
"1","1","4",4,0.092,"Low"
"1","1","4",2,0.17,"Medium"
"1","1","4",3,0.148,"Low"
"1","1","4",2,0.152,"Medium"
"1","1","3",3,0.02,"Low"
"1","1","4",6,0.042,"Low"
"1","1","1",3,0.054,"Low"
"1","1","3",8,0.056,"Low"
"1","1","2",4,0.076,"Low"
"1","1","5",6,0.202,"Medium"
"1","1","2",3,0.008,"Low"
"1","1","3",5,0.052,"Low"
"1","1","4",3,0.044,"Low"
"1","1","4",6,0.076,"Low"
"1","1","4",5,0.064,"Low"
"1","1","4",6,0.184,"Medium"
"1","1","3",3,0.098,"Low"
"1","1","1",1,0.03,"Low"
"1","3","1",2,0.142,"Low"
"1","3","1",1,0.098,"Low"
"1","1","1",3,0.026,"Low"
"1","1","3",4,0.156,"Medium"
"1","1","2",2,0.004,"Low"
"1","1","4",3,0.048,"Low"
"1","1","4",6,0.038,"Low"
"1","1","2",2,0.102,"Low"
"1","1","3",6,0.268,"High"
"1","1","3",6,0.028,"Low"
"1","1","4",2,0.1,"Low"
"1","1","4",2,0.156,"Medium"
"1","1","4",2,0.314,"High"
"1","1","3",2,0.018,"Low"
"1","1","2",3,0.262,"High"
"1","3","5",4,0.158,"Medium"
"1","3","4",4,0.358,"Very High"
"1","3","5",4,0.076,"Low"
"1","3","3",2,0.08,"Low"
"1","1","5",5,0.038,"Low"
"1","1","5",4,0,"Low"
"1","1","5",2,0.108,"Low"
"1","1","4",4,0.018,"Low"
"1","3","5",2,0.244,"Medium"
"1","3","5",2,0.244,"Medium"
"1","3","5",4,0.158,"Medium"
"1","1","5",4,0,"Low"
"1","1","4",2,0.056,"Low"
"1","1","1",2,0,"Low"
"1","1","1",1,0.002,"Low"
"1","1","4",2,0.034,"Low"
"1","1","3",2,0.086,"Low"
"1","1","5",3,0.05,"Low"
"1","1","5",2,0.198,"Medium"
"1","1","4",1,0.096,"Low"
"1","1","4",2,0.016,"Low"
"1","1","5",2,0.042,"Low"
"1","1","5",2,0.126,"Low"
"1","1","2",1,0.036,"Low"
"1","1","2",4,0.02,"Low"
"1","1","1",1,0.002,"Low"
"1","1","4",6,0.59,"Very High"
"1","1","3",3,0.01,"Low"
"1","1","3",3,0,"Low"
"1","1","3",7,0.102,"Low"
"1","1","4",3,0.052,"Low"
"1","1","3",5,0.026,"Low"
