"prov","n","mean_income","naive_se","design_se","se_ratio","deff"
1,1931,354565.798488111,43380.2289962063,47422.7422334185,1.09318791833869,1.19505982480168
2,2706,190263.564681372,27287.3137261881,29104.6151366216,1.06659876559008,1.13763292675829
3,855,188893.203995141,50548.1912109122,52220.5244474348,1.03308393824706,1.06726242346406
4,1276,347144.164965664,54164.1990898749,72121.9038719593,1.33154196099691,1.77300399389551
5,3257,415606.34418161,37498.7088466476,43206.1167454271,1.1522027844244,1.32757125643533
6,1333,153289.3394722,35226.2591722062,46213.8501168999,1.31191478183874,1.721120394807
7,5526,243106.576301158,21674.9114531372,23987.8204830597,1.10670904169197,1.22480490296276
8,1671,152888.437557052,30730.9880974822,31815.4067217347,1.03528746361206,1.07182013231229
9,2385,122853.595653834,23304.0050171824,30052.1503061166,1.28957019550754,1.66299128914135
