"Method","Mean","SE","CV","CI_Lower","CI_Upper","Time_sec","SE_ratio","CI_width"
"Taylor Linearization",260166.021017163,13642.19987843,5.24365165946479,233427.800585543,286904.241448782,0.4464430809021,1,53476.4408632388
"Jackknife (JK1)",260166.021017163,13643.2944229305,5.24407236947768,233425.655317743,286906.386716583,602.793480873108,1.00008023225802,53480.73139884
"Bootstrap (200 reps)",260166.021017163,14846.2944601057,5.70646943135065,231067.818571479,289264.223462846,41.588084936142,1.08826249376243,58196.4048913674
