"Strategy","Income_National","Bias_Income","RelBias_Income_Pct","HHSize_National","Bias_HHSize","Sample_Size"
"Full Sample (True)",260166.021017163,0,0,3.17402018048835,0,20940
"A: Drop PSUs",244457.585916991,-15708.4351001712,-6.03785038444161,3.14630029823146,-0.0277198822568909,19401
"B: Re-weight",268100.325299854,7934.30428269107,3.04970812547718,3.16850983989213,-0.00551034059621713,19401
"C: Substitute",270020.258374739,9854.2373575767,3.7876727018578,3.17594895652437,0.0019287760360216,20955
