term,estimate,std.error,statistic,p.value,odds_ratio
(Intercept),-3.5515408866262255,0.2132827462131669,-16.651796498703245,2.9365296904317457e-62,0.02868041232455434
log_income,0.3185245551442554,0.023949217417159788,13.299998475776091,2.3147304432398283e-40,1.3750973864839768
urban,0.5407741344540251,0.052433803575417916,10.313463788225953,6.125302220284461e-25,1.7173357965407878
hh_size,-0.17109907235473665,0.011370304181383047,-15.047888748208027,3.5642880477694454e-51,0.8427380772898633
renter,0.7143227866172662,0.039901112250088445,17.90232768801283,1.130946582142351e-71,2.0428028003250973
head_age,-0.021309027704807523,0.0016551888670591915,-12.87407626337393,6.298815474063323e-38,0.978916405532305
has_youth,0.4686030942987009,0.03919298417854648,11.956300448160453,6.01839824313081e-33,1.5977607125509388
